timestamp,participantID,timeTillConditionInMs,condition,wrongKeysPressedCount,conditionNotReachedPressesCount,reactionTimeInMs
1620230058.6886306,1.0,3.001261949539185,A,0.0,0.0,0.617811918258667
1620230066.8750474,1.0,2.9998579025268555,B,0.0,0.0,0.3050227165222168
1620230073.5286493,1.0,1.0068655014038086,B,0.0,0.0,0.4519510269165039
1620230081.3338325,1.0,2.0176708698272705,A,0.0,1.0,0.7470870018005371
1620230088.0230856,1.0,1.002084493637085,A,0.0,0.0,0.4509658813476562
1620230099.7015707,1.0,6.300616025924683,B,0.0,0.0,0.3312277793884277
1620230115.1651108,1.0,10.070114850997923,B,0.0,0.0,0.5248844623565674
1620230122.6310067,1.0,2.014412403106689,B,0.0,0.0,0.5463225841522217
1620230133.223079,1.0,5.034321308135986,B,0.0,0.0,0.6182124614715576
1620230141.5818307,1.0,3.021058320999145,B,0.0,0.0,0.4912166595458984
1620230179.0109494,1.0,2.0153369903564453,A,0.0,0.0,0.4259300231933594
1620230186.9410586,1.0,2.001005887985229,A,0.0,0.0,0.8707032203674316
1620230196.652241,1.0,4.000648736953735,A,0.0,0.0,0.5825061798095703
1620230203.8981922,1.0,2.0009903907775883,A,0.0,0.0,0.32733917236328125
1620230213.4228818,1.0,4.0005719661712655,B,0.0,0.0,0.3525280952453613
1620230226.1466322,1.0,7.053694486618043,B,0.0,0.0,0.5226325988769531
1620230232.6077607,1.0,1.007859230041504,A,0.0,0.0,0.5295305252075195
1620230242.1538491,1.0,4.000751972198486,B,0.0,0.0,0.5833859443664551
1620230255.6672509,1.0,8.072874546051025,A,0.0,0.0,0.5238456726074219
1620230263.947986,1.0,3.0005815029144287,,0.0,0.0,0.37762022018432617
1620230318.0359752,2.0,2.012359142303467,A,0.0,0.0,0.4535031318664551
1620230329.7188087,2.0,6.301383018493652,A,0.0,0.0,0.34686946868896484
1620230340.9594762,2.0,5.999185085296631,A,0.0,0.0,0.38929152488708496
1620230347.615062,2.0,1.001037836074829,B,0.0,0.0,0.5444519519805908
1620230355.1343706,2.0,2.021277666091919,A,0.0,0.0,0.5424952507019043
1620230364.820418,2.0,4.000653028488158,B,0.0,0.0,0.7504501342773438
1620230372.5327654,2.0,2.0138781070709233,B,0.0,0.0,0.4500632286071777
1620230381.1200655,2.0,3.0304753780364986,A,0.0,0.0,0.5195059776306152
1620230388.6657894,2.0,2.0014293193817143,A,0.0,0.0,0.5948238372802734
1620230395.0665145,2.0,1.0007958412170408,B,0.0,0.0,0.4954156875610352
1620230434.1340034,2.0,3.022996664047241,B,0.0,0.0,0.5406339168548584
1620230440.4853284,2.0,1.006540298461914,A,0.0,0.0,0.4090702533721924
1620230448.8779435,2.0,3.001133918762207,B,0.0,0.0,0.30756783485412603
1620230456.5610328,2.0,2.0124964714050293,A,0.0,0.0,0.4782485961914063
1620230465.8691087,2.0,2.999924898147583,A,0.0,0.0,1.2992727756500244
1620230473.828422,2.0,2.0006232261657715,B,0.0,0.0,0.7580490112304688
1620230484.5283742,2.0,5.036858797073363,B,0.0,0.0,0.4215834140777588
1620230499.1622884,2.0,9.081806659698486,B,0.0,0.0,0.5092856884002686
1620230506.7363358,2.0,2.0182218551635738,A,0.0,0.0,0.6479432582855225
1620230513.0583875,2.0,1.001659631729126,,0.0,0.0,0.4869108200073242
1620230554.5759706,3.0,4.031878232955933,A,0.0,0.0,0.473283052444458
1620230564.1648028,3.0,3.9996790885925293,B,0.0,0.0,0.5945796966552734
1620230570.560901,3.0,1.0061519145965576,B,0.0,0.0,0.4848930835723877
1620230579.0949192,3.0,3.0284407138824463,B,0.0,0.0,0.49646925926208496
1620230585.5413215,3.0,1.0067617893218994,A,0.0,0.0,0.4647493362426758
1620230593.5315585,3.0,1.9997813701629639,A,0.0,0.0,0.9617605209350586
1620230603.959284,3.0,5.0003392696380615,B,0.0,0.0,0.3883645534515381
1620230610.502063,3.0,1.0074050426483154,A,0.0,0.0,0.42543816566467285
1620230622.4608665,3.0,6.000503301620483,A,0.0,0.0,0.8911077976226807
1620230631.1423564,3.0,3.0006656646728516,B,0.0,0.0,0.5724315643310547
1620230675.1266727,3.0,8.072138786315918,A,0.0,1.0,0.48467087745666504
1620230685.705885,3.0,5.250425100326538,B,0.0,0.0,0.3858463764190674
1620230694.0534024,3.0,3.026122808456421,A,0.0,0.0,0.45681190490722656
1620230704.8213801,3.0,5.250936031341553,A,0.0,0.0,0.5004496574401855
1620230713.3845816,3.0,3.000504970550537,B,0.0,0.0,0.31445741653442383
1620230727.1456265,3.0,8.07475471496582,B,0.0,0.0,0.5008342266082764
1620230737.6132567,3.0,5.0480217933654785,A,0.0,0.0,0.49535036087036133
1620230744.1630886,3.0,1.0008926391601562,B,0.0,0.0,0.5923516750335693
1620230758.7030885,3.0,9.091997861862183,A,0.0,0.0,0.5401074886322021
1620230766.3272417,3.0,1.9991333484649658,,0.0,0.0,0.7577271461486816
